,Muku,,Ole,,Hoku,
,BP3,OC,BP3,OC,BP3,OC
0.00,9.643239378,0,18.52100372,0,34.24814522,84.72273174
0.00,11.22103346,0,18.78004747,0,32.37697759,70.95826958
0.00,8.41399992,0,16.56922089,0,33.19278637,68.2907929
4.00,17.33424454,0,17.6106547,12.94440543,33.90598966,81.54081115
4.00,17.35966888,0,18.9979727,0,34.39776853,106.3872362
4.00,16.19155303,0,19.35722145,4.270336065,32.02788539,83.39180517
8.00,8.073508836,81.35649995,20.2593857,50.85777213,37.91739086,83.04695973
8.00,14.01568664,0,20.36637273,65.96364367,40.61342763,98.60005474
8.00,10.28207359,0,16.88753064,16.57287539,43.66871136,71.40712174
9.00,,,,,,
10.00,,,,,,
11.00,,,,,,
12.00,14.70705158,81.1520307,520.1999119,3649.87804,35.66706859,192.6996377
12.00,14.8762728,47.86522853,243.8111077,1100.277475,33.14011183,271.8114127
12.00,15.14468589,56.22493561,283.939852,1566.756728,31.95926699,134.0192916
13.00,,,,,,
14.00,,,,,,
15.00,,,,,,
16.00,223.0873095,1666.413641,546.4148327,1888.899326,230.2387819,991.300288
16.00,220.9412514,1354.426585,234.9574451,1521.941886,236.8925472,534.5771927
16.00,148.2002119,654.0696521,175.040249,1238.400506,224.3175561,957.1648447
17.00,,,,,,
18.00,,,,,,
19.00,,,,,,
20.00,16.39820703,36.77990008,161.1402277,249.936836,37.895046,144.0490578
20.00,10.96619297,76.22796094,120.0155908,256.3820244,33.91414893,99.23877053
20.00,13.0930064,148.8657751,120.3049754,503.8800218,37.5453101,91.76915879
24.00,16.30578532,9.654836188,26.94537981,140.7564081,33.81674151,68.02412647
24.00,16.57386224,10.78389728,23.69701808,44.40690289,31.88695112,70.38203036
24.00,18.78365351,11.1751593,28.34979132,65.56242599,33.86925512,68.40330444
